state,Country,origin_id
California,United States of America (the),488
HB,Germany,489
Massachusetts,United States of America (the),490
Wisconsin,United States of America (the),491
Nevada,United States of America (the),492
Indiana,United States of America (the),493
Cortes,Honduras,494
Cortes,Honduras,495
San Pedro Sula,Honduras,496
Chiapas,Mexico,497
Copan,Honduras,498
Guatemala,Guatemala,499
Oaxaca,Mexico,500
Oaxaca,Mexico,501
Lima,Peru,502
Massachusetts,United States of America (the),503
CHIAPAS,Mexico,504
Parana,Brazil,505
Cajamarca,Peru,506
Caldas,Colombia,507
Cortes,Honduras,508
Cortes,Honduras,509
Cortes,Honduras,510
Cortes,Honduras,511
Cortes,Honduras,512
San Pedro Sula,Honduras,513
Pichanaki,Peru,514
Oaxaca,Mexico,515
Oaxaca,Mexico,516
CHIAPAS,Mexico,517
Chiapas,Mexico,518
Chiapas,Mexico,519
Chiapas,Mexico,520
Oaxaca,Mexico,521
Chiapas,Mexico,522
Lima,Peru,523
New Jersey,United States of America (the),524
Virginia,United States of America (the),525
Texas,United States of America (the),526
San Jose,Costa Rica,527
Montana,United States of America (the),528
Jinotega,Nicaragua,529
Managua,Nicaragua,530
Cajamarca,Peru,531
San Martin,Peru,532
San Martin,Peru,533
Junin,Peru,534
Cajamarca,Peru,535
Ayacucho,Peru,536
Cajamarca,Peru,537
San Martin,Peru,538
San Martín,Peru,539
Cajamarca,Peru,540
Amazonas,Peru,541
Junin,Peru,542
Junín,Peru,543
Cusco,Peru,544
Cajamarca,Peru,545
Cusco,Peru,546
Cusco,Peru,547
Junin,Peru,548
JUNIN,Peru,549
Cusco,Peru,550
LUYA,Peru,551
Chanchamayo,Peru,552
Junin,Peru,553
Junin,Peru,554
Amazonas,Peru,555
JUNIN,Peru,556
Cusco,Peru,557
San Juan del Oro,Peru,558
Bagua Grande,Peru,559
Junin,Peru,560
Junin,Peru,561
Junin,Peru,562
San Ignacio,Peru,563
Apurimac,Peru,564
Junin,Peru,565
Junin,Peru,566
Cajamarca,Peru,567
Cajamarca,Peru,568
Cajamarca,Peru,569
Cajamarca,Peru,570
Cajamarca,Peru,571
Cajamarca,Peru,572
Cajamarca,Peru,573
Cajamarca,Peru,574
Cajamarca,Peru,575
Cajamarca,Peru,576
Amazonas,Peru,577
Lambayeque,Peru,578
San Ignacio - Cajamarca,Peru,579
Junin,Peru,580
Piura,Peru,581
Piura,Peru,582
Piura,Peru,583
Amazonas,Peru,584
Amazonas,Peru,585
Cajamarca,Peru,586
Cajamarca,Peru,587
Cajamarca,Peru,588
JUNIN,Peru,589
Cusco,Peru,590
Cajamarca,Peru,591
San Ignacio,Peru,592
JAEN,Peru,593
La Paz,Bolivia (Plurinational State of),594
Copán,Honduras,595
Copán,Honduras,596
La Paz,Bolivia (Plurinational State of),597
Copan,Honduras,598
Copan,Honduras,599
Copan,Honduras,600
Matagalpa,Nicaragua,601
Huehuetenango,Guatemala,602
San Marcos,Guatemala,603
La Paz,Honduras,604
Junín,Peru,605
JUNIN,Peru,606
Junin,Peru,607
"Junín,",Peru,608
Junin,Peru,609
JUNIN,Peru,610
Junín,Peru,611
JUNIN,Peru,612
Pasco,Peru,613
Huanuco,Peru,614
Junín,Peru,615
Junín,Peru,616
Junin,Peru,617
Intibuca,Honduras,618
La Paz,Honduras,619
La Paz,Honduras,620
La Paz,Bolivia (Plurinational State of),621
La Paz,Honduras,622
La Paz,Honduras,623
La Paz,Honduras,624
Junin,Peru,625
Santa Barbara,Honduras,626
La Paz,Bolivia (Plurinational State of),627
Madriz,Nicaragua,628
Rondônia,Brazil,629
Copan,Honduras,630
Copan,Honduras,631
Esteli,Nicaragua,632
Chanchamayo,Peru,633
Esteli,Nicaragua,634
La Paz,Bolivia (Plurinational State of),635
La Paz,Bolivia (Plurinational State of),636
La Paz,Bolivia (Plurinational State of),637
Madriz,Nicaragua,638
Intibuca,Honduras,639
San Juan Intibuca,Honduras,640
Intibuca,Honduras,641
Intibuca,Honduras,642
Intibuca,Honduras,643
La Paz,Honduras,644
La Paz,Honduras,645
La Paz,Honduras,646
La Paz,Honduras,647
La paz,Bolivia (Plurinational State of),648
Planadas,Colombia,649
Dili District,Timor-Leste,650
Ocotepeque,Honduras,651
Ocotepeque,Honduras,652
Ocotepeque,Honduras,653
Ocotepeque,Honduras,654
Copan,Honduras,655
Copan,Honduras,656
Copan,Honduras,657
Copan,Honduras,658
Copan,Honduras,659
Copan,Honduras,660
Copan,Honduras,661
Ocotepeque,Honduras,662
Ocotepeque,Honduras,663
Ocotepeque,Honduras,664
Ocotepeque,Honduras,665
Copan,Honduras,666
Ocotepeque,Honduras,667
Ocotepeque,Honduras,668
Copan,Honduras,669
Ocotepeque,Honduras,670
Ocotepeque,Honduras,671
Ocotepeque,Honduras,672
Ocotepeque,Honduras,673
Olancho,Honduras,674
Olancho,Honduras,675
Ocotepeque,Honduras,676
Ocotepeque,Honduras,677
Ocotepeque,Honduras,678
Ocotepeque,Honduras,679
Choluteca,Honduras,680
Choluteca,Honduras,681
Choluteca,Honduras,682
Ocotepeque,Honduras,683
Amazonas,Peru,684
Amazonas,Peru,685
Ciudad Sandino,Nicaragua,686
La Paz,Honduras,687
La Paz,Honduras,688
Quindio,Colombia,689
Managua,Nicaragua,690
Rivas,Nicaragua,691
Rivas,Nicaragua,692
Rivas,Nicaragua,693
Ocotepeque,Honduras,694
Ocotepeque,Honduras,695
Ocotepeque,Honduras,696
Leon,Nicaragua,697
Ocotepeque,Honduras,698
Ocotepeque,Honduras,699
Ocotepeque,Honduras,700
JUNIN,Peru,701
CHIAPAS,Mexico,702
Ocotepeque,Honduras,703
Ocotepeque,Honduras,704
Ocotepeque,Honduras,705
Bahia,Brazil,706
Lempira,Honduras,707
Lempira,Honduras,708
Lempira,Honduras,709
Amazonas,Peru,710
Rivas,Nicaragua,711
Rivas,Nicaragua,712
Rivas,Nicaragua,713
Nueva Segovia,Nicaragua,714
San Martin,Peru,715
San Martin,Peru,716
San Martin,Peru,717
Cajamarca,Peru,718
San Martin,Peru,719
San Martin,Peru,720
San Martin,Peru,721
Cajamarca,Peru,722
Cajamarca,Peru,723
Cajamarca,Peru,724
Cajamarca,Peru,725
Cajamarca,Peru,726
Madriz,Nicaragua,727
San Martín,Peru,728
San Martín,Peru,729
Jinotega,Nicaragua,730
Nueva Segovia,Nicaragua,731
Matagalpa,Nicaragua,732
Matagalpa,Nicaragua,733
Cajamarca,Peru,734
Cajamarca,Peru,735
Jaén,Peru,736
Amazonas,Peru,737
Nueva Segovia,Nicaragua,738
Jinotega,Nicaragua,739
Matagalpa,Nicaragua,740
Nueva Segovia,Nicaragua,741
Nueva Segovia,Nicaragua,742
Cajamarca,Peru,743
Cajamarca,Peru,744
Cajamarca,Peru,745
Amazonas,Peru,746
Matagalpa,Nicaragua,747
Cauca,Colombia,748
MG,Brazil,749
Minas Gerais,Brazil,750
Minas Gerais,Brazil,751
Ilheus,Brazil,752
San Marcos,Guatemala,753
Chimaltenango,Guatemala,754
San Marcos,Guatemala,755
Huehuetenango,Guatemala,756
San Marcos,Guatemala,757
La Paz,Bolivia (Plurinational State of),758
La Paz,Bolivia (Plurinational State of),759
La Paz,Bolivia (Plurinational State of),760
Quiche,Guatemala,761
San Marcos,Guatemala,762
San Marcos,Guatemala,763
Quiche,Guatemala,764
Santa Rosa,Guatemala,765
Quiche,Guatemala,766
La Paz,Bolivia (Plurinational State of),767
Quiche,Guatemala,768
Matagalpa,Nicaragua,769
Sonsonate,El Salvador,770
Sonsonate,El Salvador,771
PUEBLA,Mexico,772
Copan,Honduras,773
La Paz,Honduras,774
La Paz,Honduras,775
Intibucá,Honduras,776
La Paz,Honduras,777
Copán,Honduras,778
Copán,Honduras,779
Santa Bárbara,Honduras,780
Santa Bárbara,Honduras,781
La Paz,Honduras,782
La Paz,Honduras,783
La Paz,Honduras,784
Francisco Morazán,Honduras,785
Francisco Morazán,Honduras,786
Francisco Morazán,Honduras,787
Yoro,Honduras,788
Yoro,Honduras,789
Cauca,Colombia,790
Madriz,Nicaragua,791
Madriz,Nicaragua,792
Madriz,Nicaragua,793
San Juan del Rio Coco,Nicaragua,794
Madriz,Nicaragua,795
Jinotega,Nicaragua,796
Madriz,Nicaragua,797
Madriz,Nicaragua,798
Jinotega,Nicaragua,799
