origin_id,state,Country
362,CIUDAD DE MEXICO,Mexico
363,Copan,Honduras
364,Copan,Honduras
365,Copan,Honduras
366,San Pedro Sula,Honduras
367,Cortes,Honduras
368,Cortes,Honduras
369,Cortes,Honduras
370,Nayarit,Mexico
371,Chiapas,Mexico
372,Veracruz,Mexico
373,Oaxaca,Mexico
374,Lima,Peru
375,Lima,Peru
376,Lima,Peru
377,Matagalpa,Nicaragua
378,Matagalpa,Nicaragua
379,Copán,Honduras
380,CHIAPAS,Mexico
381,"Risaralda, Pereira",Colombia
382,Chihuahua,Mexico
383,Oaxaca,Mexico
384,Risaralda,Colombia
385,Utah,United States of America (the)
386,Kentucky,United States of America (the)
387,Oregon,United States of America (the)
388,Jaen,Peru
389,VERACRUZ,Mexico
390,Veracruz,Mexico
391,Comayagua.,Honduras
392,Cajamarca,Peru
393,California,United States of America (the)
394,Minnesota,United States of America (the)
395,CHIAPAS,Mexico
396,Connecticut,United States of America (the)
397,Florida,United States of America (the)
398,New York,United States of America (the)
399,California,United States of America (the)
400,Jinotega,Nicaragua
401,Quindio,Colombia
402,Guatemala,Guatemala
403,BOGOTA,Colombia
404,California,United States of America (the)
405,New Jersey,United States of America (the)
406,California,United States of America (the)
407,Ohio,United States of America (the)
408,Motozintla,Mexico
409,Chiriquí,Panama
410,Oregon,United States of America (the)
411,Utah,United States of America (the)
412,Chiapas,Mexico
413,San José,Costa Rica
414,Managua,Nicaragua
415,Managua,Nicaragua
416,La Paz,Bolivia (Plurinational State of)
417,Perené,Peru
418,Chiclayo,Peru
419,Lambayeque,Peru
420,Esteli,Nicaragua
421,Cusco,Peru
422,Matagalpa,Nicaragua
423,Matagalpa,Nicaragua
424,Matagalpa,Nicaragua
425,Matagalpa,Nicaragua
426,Matagalpa,Nicaragua
427,Estelí,Nicaragua
428,Estelí,Nicaragua
429,Estelí,Nicaragua
430,Lima,Peru
431,San Ignacio,Peru
432,Pasco,Peru
433,Pasco,Peru
434,Chiapas,Mexico
435,Chiapas,Mexico
436,Chiriquí,Panama
437,California,United States of America (the)
438,Solola,Guatemala
439,San Marcos,Guatemala
440,Solola,Guatemala
441,Chanchamayo,Peru
442,Ohio,United States of America (the)
